Time (s),Speed (km/h),Acceleration (m/s²),Power Demand (kW),Engine Power (kW),Battery Power (kW),Fuel Consumption (L/100km),SOC (%),Battery Degradation (%),Regenerative Braking Power (kW),Total Energy Used (kWh),Driving Cycle Type,Target Efficiency
0,57.4507123,-0.211879841,43.2150527,22.33693484,20.87811786,4.376824275,99.97912188,0.002087812,2.83215627,46.04720897,WLTC,High Efficiency
1,47.92603548,-0.226707054,46.94500537,18.99076788,27.95423749,2.995502166,99.95116764,0.004883236,2.873573708,49.81857908,HWFET,High Efficiency
2,59.71532807,-0.897821586,44.02618939,29.47473778,14.55145161,2.091800136,99.93661619,0.006338381,2.336560463,46.36274985,Urban,High Efficiency
3,72.84544785,-0.165045096,51.10418047,28.52191765,22.58226282,3.296833708,99.91403393,0.008596607,3.439032006,54.54321248,Highway,High Efficiency
4,46.48769938,0.366414541,61.97178531,40.58784311,21.38394221,5.96371167,99.89264999,0.010735001,0,61.97178531,WLTC,Low Efficiency
5,46.48794565,-0.63711606,42.28957843,17.67583474,24.61374369,3.092683892,99.86803624,0.013196376,5.052245503,47.34182393,WLTC,High Efficiency
6,73.68819223,0.524241326,60.00820498,28.09808787,31.91011711,4.489595483,99.83612613,0.016387387,0,60.00820498,Urban,High Efficiency
7,61.51152094,0.243887411,42.18327928,20.15576134,22.02751793,7.920047694,99.81409861,0.018590139,0,42.18327928,HWFET,Low Efficiency
8,42.95788421,-0.367116661,41.52372788,21.42655287,20.09717501,4.926238805,99.79400143,0.020599857,1.058304121,42.582032,WLTC,Low Efficiency
9,58.13840065,-0.070764819,58.18594618,37.28904033,20.89690585,5.513796485,99.77310453,0.022689547,9.040357397,67.22630358,WLTC,Low Efficiency
10,43.04873461,0.799160904,59.21936378,30.55525892,28.66410486,3.580939973,99.74444042,0.025555958,0,59.21936378,Urban,High Efficiency
11,43.0140537,0.366773907,58.51409937,26.99817484,31.51592453,8.245212281,99.7129245,0.02870755,0,58.51409937,HWFET,Low Efficiency
12,53.62943407,0.004391827,36.84202592,15.45512222,21.38690369,4.188058266,99.6915376,0.03084624,0,36.84202592,Urban,High Efficiency
13,21.30079633,-0.118841658,45.34049022,19.21745454,26.12303568,4.657842973,99.66541456,0.033458544,8.363560472,53.70405069,Urban,Low Efficiency
14,24.12623251,0.038304535,58.22988592,36.569193,21.66069292,6.975588017,99.64375387,0.035624613,0,58.22988592,HWFET,Low Efficiency
15,41.56568706,-0.255881779,50.41541841,26.89364603,23.52177237,4.727398633,99.62023209,0.037976791,0.761528934,51.17694734,WLTC,Low Efficiency
16,34.80753319,-1.052374753,39.26307154,24.25885902,15.00421252,5.071833174,99.60522788,0.039477212,0.317333617,39.58040515,Highway,Low Efficiency
17,54.71370999,1.021088955,54.58317939,33.00569187,21.57748753,4.577467519,99.58365039,0.041634961,0,54.58317939,Highway,Low Efficiency
18,36.37963887,0.0776625,42.85192741,18.88093368,23.97099373,4.587751433,99.5596794,0.04403206,0,42.85192741,Highway,Low Efficiency
19,28.81544448,0.199073633,67.94524848,30.09066625,37.85458223,5.555753016,99.52182482,0.047817518,0,67.94524848,Urban,Low Efficiency
20,71.98473153,-0.028953875,65.44841462,41.01014707,24.43826755,5.829414784,99.49738655,0.050261345,8.186470356,73.63488498,WLTC,Low Efficiency
